group,mass_bin,T_bin,O2_bin,n
demersal,10^0 g,4.75,17.25,2
demersal,10^0 g,4.75,21.75,11
demersal,10^0 g,4.75,22.25,5
demersal,10^0 g,5.25,3.25,1
demersal,10^0 g,5.25,9.25,2
demersal,10^0 g,5.25,11.75,1
demersal,10^0 g,5.25,12.25,3
demersal,10^0 g,5.25,16.75,1
demersal,10^0 g,5.25,20.75,1
demersal,10^0 g,5.25,21.75,9
demersal,10^0 g,5.75,6.25,1
demersal,10^0 g,5.75,9.25,2
demersal,10^0 g,5.75,11.25,1
demersal,10^0 g,5.75,12.75,1
demersal,10^0 g,5.75,13.75,1
demersal,10^0 g,5.75,19.75,1
demersal,10^0 g,5.75,21.25,1
demersal,10^0 g,5.75,21.75,10
demersal,10^0 g,5.75,22.25,18
demersal,10^0 g,6.25,6.25,1
demersal,10^0 g,6.25,7.25,1
demersal,10^0 g,6.25,8.25,1
demersal,10^0 g,6.25,16.25,2
demersal,10^0 g,6.25,19.75,1
demersal,10^0 g,6.25,20.25,3
demersal,10^0 g,6.25,20.75,6
demersal,10^0 g,6.25,21.75,15
demersal,10^0 g,6.75,19.25,1
demersal,10^0 g,7.25,9.25,1
demersal,10^0 g,7.25,9.75,1
demersal,10^0 g,7.25,11.25,1
demersal,10^0 g,7.25,13.75,1
demersal,10^0 g,7.25,15.25,1
demersal,10^0 g,7.25,17.25,1
demersal,10^0 g,7.25,19.75,7
demersal,10^0 g,7.25,20.25,1
demersal,10^0 g,7.25,21.75,3
demersal,10^0 g,7.25,22.25,22
demersal,10^0 g,7.25,22.75,16
demersal,10^0 g,7.75,8.75,2
demersal,10^0 g,7.75,19.75,8
demersal,10^0 g,7.75,20.25,42
demersal,10^0 g,7.75,20.75,6
demersal,10^0 g,7.75,21.75,1
demersal,10^0 g,7.75,22.25,16
demersal,10^0 g,7.75,22.75,121
demersal,10^0 g,8.25,10.75,1
demersal,10^0 g,8.25,13.25,1
demersal,10^0 g,8.25,15.75,1
demersal,10^0 g,8.25,19.75,1
demersal,10^0 g,8.25,20.25,52
demersal,10^0 g,8.25,20.75,596
demersal,10^0 g,8.25,21.25,65
demersal,10^0 g,8.25,22.75,15
demersal,10^0 g,8.75,4.25,1
demersal,10^0 g,8.75,4.75,1
demersal,10^0 g,8.75,20.75,481
demersal,10^0 g,8.75,21.25,211
demersal,10^0 g,8.75,21.75,1
demersal,10^0 g,8.75,22.25,2
demersal,10^0 g,9.25,7.25,1
demersal,10^0 g,9.25,11.75,1
demersal,10^0 g,9.25,14.75,1
demersal,10^0 g,9.25,20.25,1
demersal,10^0 g,9.25,20.75,86
demersal,10^0 g,9.25,21.25,211
demersal,10^0 g,9.25,21.75,20
demersal,10^0 g,9.25,22.25,1
demersal,10^0 g,9.75,4.75,1
demersal,10^0 g,9.75,11.25,1
demersal,10^0 g,9.75,12.75,2
demersal,10^0 g,9.75,13.75,2
demersal,10^0 g,9.75,14.75,9
demersal,10^0 g,9.75,15.25,1
demersal,10^0 g,9.75,19.25,1
demersal,10^0 g,9.75,21.25,140
demersal,10^0 g,9.75,21.75,111
demersal,10^0 g,9.75,22.25,2
demersal,10^0 g,10.25,7.75,1
demersal,10^0 g,10.25,13.25,2
demersal,10^0 g,10.25,13.75,2
demersal,10^0 g,10.25,14.25,2
demersal,10^0 g,10.25,15.25,1
demersal,10^0 g,10.25,15.75,1
demersal,10^0 g,10.25,17.75,1
